회차,등수,번호,상호명,주소
262,1,1,태극로또전문점,경기 이천시 애련정로 124-2
262,1,2,대박로또복권,강원 원주시 관설동  1771-6패밀리마트관설에버빌점
262,2,1,꽃돼지복권방,서울 동대문구 장안동  361-4
262,2,2,복권나라청량리2호점,서울 동대문구 전농2동  622-11
262,2,3,성동구가로판매,서울 성동구 성수동2가  235-1호 앞도로가로판매
262,2,4,소망슈퍼,서울 은평구 역촌동  15-1
262,2,5,샌드빈(SAND BEAN),서울 중구 퇴계로56길 57
262,2,6,노다지,서울 중랑구 면목동  74-35
262,2,7,행운복권방,부산 부산진구 개금1동  523-5
262,2,8,대박로또,대구 북구 고성동2가  112-3 고성아파트상가 101-18
262,2,9,O.K마트,대전 중구 은행동  53-27번지
262,2,10,현대 LOTTO 복권,대전 중구 계백로 1570
262,2,11,삼성복권방,울산 남구 옥동  1405-21 훼미리마트
262,2,12,울트라복권방,울산 남구 삼산동  192-1
262,2,13,Sound Wave,경기 광명시 광명동  150-7
262,2,14,원종슈퍼,경기 부천시 오정구 원종동 원종동 140-3 코아상가 4호
262,2,15,신천가판점,경기 시흥시 신천동  712-10
262,2,16,로또판매점,경기 포천시 호국로 1900
262,2,17,LA25시 편의점,충북 청주시 흥덕구 봉명동 봉명동 969-4번지
262,2,18,복권명당,충북 청주시 상당구 월평로 204
262,2,19,천하제일 복권 연무,충남 논산시 연무읍 안심리 안심리 1126-36
262,2,20,세정쇼핑,경남 마산시 내서읍 상곡리 상곡리 16
262,2,21,원마트,경남 창원시 용호동  73-2 라이크빌1층 102호
263,1,1,GS25(관악한일),서울 관악구 남현동  602-11 한일빌딩 1층
263,1,2,기타_검증용,서울 서초구 서초동  1591-3 탑스벤처빌딩 1층 서초마트내
263,1,3,왕대박로또방,부산 해운대구 좌동  998-7 1층
263,1,4,하나편의점,인천 남동구 구월로 281 세븐일레븐편의점내
263,1,5,예스24,경기 고양시 덕양구 화정동 화정동 977 밀레니엄타워105
263,1,6,로또,경기 김포시 사우동  872 청원프라자 107
263,2,1,성모마트,서울 강남구 역삼동  813
263,2,2,대박나라,서울 마포구 망원로 86
263,2,3,세진마트,서울 마포구 상수동  323-1
